user_id,post_id
user_98,1445
user_6,1451
user_750,1452
user_45,1460
user_943,1464
user_253,1466
user_253,2466
user_506,2469
user_710,2470
user_109,2473
user_573,2474
user_147,2475
user_147,2478
user_147,2479
user_6,2484
user_253,2488
user_573,2489
user_573,2496
user_1971,2498
user_18,2503
user_856,2507
user_61,2508
user_1985,2511
user_550,2512
user_539,2516
user_49,2520
user_253,2523
user_627,2524
user_18,2526
user_1990,2527
user_49,2528
user_1993,2531
user_251,2533
user_141,2534
user_710,2539
user_253,2548
user_2017,2555
user_6,2560
user_2021,2563
user_2021,2564
user_2021,2568
user_899,2574
user_18,2575
user_328,2578
user_689,2582
user_109,2583
user_742,2587
user_742,2590
user_288,2593
user_80,2606
user_634,2607
user_343,2608
user_2055,2611
user_573,2613
user_2052,2615
user_18,2617
user_328,2625
user_49,2626
user_539,2629
user_85,2630
user_328,2632
user_52,2637
user_2074,2638
user_566,2640
user_443,2641
user_189,2647
user_147,2648
user_2083,2652
user_129,2653
user_2042,2655
user_2072,2657
user_2072,2660
user_147,2662
user_2087,2663
user_129,2664
user_2091,2667
user_2092,2671
user_468,2672
user_349,2674
user_627,2675
user_196,2677
user_573,2682
user_2113,2687
user_224,2691
user_2119,2692
user_278,2696
user_227,2698
user_49,2699
user_858,2700
user_328,2703
user_224,2709
user_109,2710
user_443,2714
user_9,2715
user_129,2720
user_179,2723
user_366,2726
user_147,2734
user_2147,2740
user_2155,2743
user_301,2744
user_2105,2747
user_224,2748
user_2042,2759
user_189,2776
user_573,2795
user_862,2796
user_2221,2808
user_19,2810
user_573,2814
user_278,2815
user_601,2825
user_349,2827
user_1985,2829
user_2232,2838
user_286,2840
user_2072,2855
user_2265,2856
user_24,2861
user_2024,2867
user_627,2868
user_24,2869
user_24,2870
user_627,2871
user_478,2879
user_85,2884
user_49,2885
user_539,2886
user_18,2889
user_2044,2895
user_189,2898
user_917,2899
user_189,2900
user_95,2905
user_539,2906
user_2072,2909
user_49,2918
user_1948,2922
user_539,2925
user_686,2933
user_49,2935
user_147,2947
user_9,2948
user_627,2959
user_81,2965
user_710,2966
user_2178,2970
user_49,2973
user_49,2974
user_18,2975
user_18,2978
user_2328,2983
user_917,2987
user_81,2989
user_478,2991
user_917,3001
user_539,3011
user_147,3013
user_288,3029
user_2358,3031
user_330,3036
user_81,3040
user_2375,3045
user_2377,3048
user_328,3049
user_18,3051
user_2382,3063
user_7,3066
user_2390,3067
user_349,3086
user_98,3088
user_98,3090
user_288,3095
user_2394,3107
user_2394,3108
user_49,3110
user_2235,3111
user_2420,3123
user_98,3129
user_90,3133
user_109,3135
user_90,3136
user_627,3140
user_2428,3145
user_90,3146
user_90,3148
user_627,3150
user_2428,3151
user_2391,3161
user_917,3166
user_627,3169
user_277,3178
user_328,3188
user_18,3191
user_2474,3197
user_601,3201
user_879,3211
user_2485,3212
user_2052,3215
user_2358,3224
user_2358,3226
user_2394,3229
user_75,3230
user_2394,3231
user_18,3235
user_98,3239
user_648,3240
user_2087,3245
user_635,3246
user_227,3248
user_129,3254
user_2524,3260
user_107,3267
user_107,3270
user_278,3271
user_246,3290
user_18,3293
user_2556,3296
user_9,3303
user_879,3315
user_501,3320
user_2576,3325
user_189,3326
user_2358,3338
user_2287,3340
user_29,3344
user_9,3347
user_539,3348
user_2071,3350
user_2556,3351
user_179,3352
user_49,3353
user_70,3354
user_257,3358
user_539,3362
user_179,3363
user_349,3364
user_2083,3371
user_288,3372
user_119,3373
user_257,3374
user_2615,3375
user_349,3376
user_687,3379
user_2616,3381
user_24,3386
user_2071,3391
user_2561,3396
user_539,3397
user_19,3401
user_857,3406
user_147,3413
user_19,3414
user_147,3419
user_468,3429
user_627,3432
user_2113,3433
user_2391,3434
user_2071,3440
user_2667,3448
user_2543,3449
user_286,3451
user_2072,3458
user_406,3463
user_224,3466
user_659,3474
user_2110,3478
user_627,3480
user_2686,3482
user_286,3483
user_98,3484
user_49,3485
user_478,3490
user_49,3491
user_2615,3492
user_2701,3494
user_2722,3510
user_2733,3556
user_280,3560
user_772,3579
user_2517,3580
user_18,3601
user_2071,3604
